naar	schatting	lcl	ucl	klasse	interpretatie	wijziging
2008	0.07232	-0.22439	0.3688	8	3	+7% (-20%; +45%)
2009	0.14756	-0.19723	0.49287	8	3	+16% (-18%; +64%)
2010	0.2398	-0.06935	0.5487	8	3	+27% (-7%; +73%)
2011	0.27003	-0.08447	0.62487	8	3	+31% (-8%; +87%)
2012	0.45869	0.10436	0.81226	2	9	+58% (+11%; +125%)
2013	0.31845	-0.002	0.63922	8	3	+38% (-0%; +90%)
2014	0.6836	0.34146	1.02532	1	10	+98% (+41%; +179%)
2015	0.50138	0.18149	0.8211	2	9	+65% (+20%; +127%)
2016	0.28593	-0.02737	0.59884	8	3	+33% (-3%; +82%)
2017	0.04879	-0.29303	0.38934	10	1	+5% (-25%; +48%)
2018	0.26082	-0.07904	0.59993	8	3	+30% (-8%; +82%)
2019	0.55158	0.22154	0.88211	2	9	+74% (+25%; +142%)
2020	0.28668	-0.05446	0.62754	8	3	+33% (-5%; +87%)
2021	0.03343	-0.33547	0.40213	10	1	+3% (-29%; +49%)
