naar	schatting	lcl	ucl	klasse	interpretatie	wijziging	sd
2008	0.22154	0.02859	0.41476	2	9	+25% (+3%; +51%)	0.117387344889684
2009	0.13802	-0.06507	0.34075	8	3	+15% (-6%; +41%)	0.123360520763217
2010	0.13889	-0.06828	0.34501	8	3	+15% (-7%; +41%)	0.125631239530408
2011	0.1415	-0.07796	0.36116	8	3	+15% (-8%; +44%)	0.133483002014548
2012	0.27079	0.03053	0.51222	2	9	+31% (+3%; +67%)	0.14642336318179
2013	0.32714	0.07696	0.57774	2	9	+39% (+8%; +78%)	0.152226311142388
2014	0.30969	0.06204	0.55847	2	9	+36% (+6%; +75%)	0.15090400503298
2015	0.39272	0.11956	0.66526	2	9	+48% (+13%; +94%)	0.165881021587126
2016	0.4498	0.17143	0.72755	2	9	+56.8% (+18.7%; +107.0%)	0.169048476681387
2017	0.46248	0.17479	0.75047	2	9	+58.8% (+19.1%; +111.8%)	0.174994294497484
2018	0.51163	0.20457	0.81934	2	9	+67% (+23%; +127%)	0.186876810777199
2019	0.54407	0.23111	0.85697	2	9	+72% (+26%; +136%)	0.19024793141015
2020	0.64658	0.31189	0.98133	1	10	+91% (+37%; +167%)	0.203495310777507
2021	0.70557	0.35347	1.05779	1	10	+103% (+42%; +188%)	0.214098077926049
