naar	schatting	lcl	ucl	klasse	interpretatie	wijziging
2008	0.00797	-0.04186	0.05921	4	7	+1% (-4%; +6%)
2009	0.0139	-0.05657	0.08342	4	7	+1% (-5%; +9%)
2010	0.01193	-0.06721	0.09167	4	7	+1% (-6%; +10%)
2011	0.00896	-0.07688	0.09531	4	7	+0.9% (-7.4%; +10.0%)
2012	0.01292	-0.08121	0.10616	4	7	+1.3% (-7.8%; +11.2%)
2013	0.01292	-0.08447	0.11065	4	7	+1.3% (-8.1%; +11.7%)
2014	0.02078	-0.08338	0.12399	4	7	+2.1% (-8.0%; +13.2%)
2015	0.02567	-0.0823	0.13453	4	7	+2.6% (-7.9%; +14.4%)
2016	0.03053	-0.08121	0.14237	4	7	+3.1% (-7.8%; +15.3%)
2017	0.02956	-0.08556	0.14323	4	7	+3.0% (-8.2%; +15.4%)
2018	0.03343	-0.08447	0.15272	4	7	+3.4% (-8.1%; +16.5%)
2019	0.03343	-0.08774	0.15444	4	7	+3.4% (-8.4%; +16.7%)
2020	0.03053	-0.09431	0.15615	4	7	+3.1% (-9.0%; +16.9%)
2021	0.02859	-0.10314	0.16042	4	7	+2.9% (-9.8%; +17.4%)
